crop,season,district,year,selling_price_range,selling_location,industry_name
cabbage,rabi,vikarabad,2022,5045–6302 ₹/quintal,nearest mandi,bharat agro mills
mango,kharif,mahabubabad,2023,4115–4743 ₹/quintal,local market,mandi connect ltd
spices,rabi,bhadradri kothagudem,2020,2146–2459 ₹/quintal,nearest mandi,mandi connect ltd
wheat,rabi,hyderabad,2021,1985–3228 ₹/quintal,nearest mandi,telangana agri exports
lentil,rabi,mahabubnagar,2022,3120–4477 ₹/quintal,nearest mandi,deccan agri trading
tea,kharif,mancherial,2022,3796–4723 ₹/quintal,local market,krishi produce ltd
jute,kharif,yadadri bhuvanagiri,2020,2677–3009 ₹/quintal,industry buyer,telangana agri exports
coffee,kharif,wanaparthy,2024,3575–4290 ₹/quintal,industry buyer,agro industries ltd
sunflower,zaid,vikarabad,2021,4222–5213 ₹/quintal,local market,rural farmers hub
cabbage,rabi,hyderabad,2023,3343–4378 ₹/quintal,industry buyer,rural farmers hub
garlic,rabi,yadadri bhuvanagiri,2021,4455–5893 ₹/quintal,nearest mandi,rural farmers hub
sapota,rabi,sangareddy,2024,3003–3994 ₹/quintal,nearest mandi,green harvest corp
cotton,kharif,warangal rural,2024,6839–7911 ₹/quintal,nearest mandi,agro industries ltd
peach,rabi,bhadradri kothagudem,2021,2858–4268 ₹/quintal,nearest mandi,telangana agri exports
cinnamon,kharif,suryapet,2022,4130–4524 ₹/quintal,nearest mandi,agro industries ltd
moong,kharif,peddapalli,2021,4032–5144 ₹/quintal,local market,deccan agri trading
peach,rabi,warangal urban,2023,3830–4301 ₹/quintal,industry buyer,mandi connect ltd
sunflower,rabi,nagarkurnool,2023,4570–5359 ₹/quintal,nearest mandi,mandi connect ltd
soybean,kharif,wanaparthy,2020,3104–3875 ₹/quintal,industry buyer,bharat agro mills
gram,rabi,nagarkurnool,2020,2661–2978 ₹/quintal,industry buyer,bharat agro mills
rice,kharif,warangal urban,2022,2079–3063 ₹/quintal,nearest mandi,telangana agri exports
coriander,rabi,mancherial,2024,2764–3676 ₹/quintal,industry buyer,rural farmers hub
spices,zaid,kamareddy,2020,2693–3396 ₹/quintal,nearest mandi,mandi connect ltd
muskmelon,zaid,adilabad,2020,3786–4808 ₹/quintal,nearest mandi,mandi connect ltd
ginger,kharif,khammam,2020,3207–3777 ₹/quintal,industry buyer,rural farmers hub
plum,rabi,rajanna sircilla,2020,3409–4011 ₹/quintal,nearest mandi,green harvest corp
tomato,kharif,mulugu,2023,1072–2523 ₹/quintal,industry buyer,green harvest corp
beetroot,rabi,warangal urban,2020,3097–4458 ₹/quintal,local market,rural farmers hub
cinnamon,kharif,jayashankar bhupalpally,2020,3045–3395 ₹/quintal,local market,green harvest corp
jute,kharif,bhadradri kothagudem,2022,4436–5823 ₹/quintal,nearest mandi,deccan agri trading
tomato,zaid,karimnagar,2023,1264–1532 ₹/quintal,nearest mandi,agro industries ltd
cotton,kharif,khammam,2022,6744–7671 ₹/quintal,industry buyer,telangana agri exports
cabbage,rabi,kamareddy,2024,3629–4492 ₹/quintal,industry buyer,bharat agro mills
maize,kharif,jangaon,2020,1976–2808 ₹/quintal,nearest mandi,agro industries ltd
moong,kharif,jayashankar bhupalpally,2020,3952–4927 ₹/quintal,industry buyer,krishi produce ltd
cinnamon,kharif,jayashankar bhupalpally,2022,3123–4464 ₹/quintal,local market,krishi produce ltd
mango,kharif,medchal–malkajgiri,2021,4023–4502 ₹/quintal,local market,telangana agri exports
sapota,kharif,rajanna sircilla,2023,2793–4097 ₹/quintal,nearest mandi,deccan agri trading
cardamom,kharif,karimnagar,2021,4535–5809 ₹/quintal,industry buyer,agro industries ltd
pumpkin,kharif,vikarabad,2022,3418–4283 ₹/quintal,industry buyer,telangana agri exports
soybean,kharif,jogulamba gadwal,2021,3790–5160 ₹/quintal,nearest mandi,bharat agro mills
hemp,kharif,bhadradri kothagudem,2020,3555–4414 ₹/quintal,nearest mandi,green harvest corp
sugarcane,kharif,nalgonda,2021,3485–3824 ₹/quintal,nearest mandi,krishi produce ltd
groundnut,kharif,peddapalli,2024,4826–6210 ₹/quintal,industry buyer,krishi produce ltd
carrot,rabi,jayashankar bhupalpally,2021,3441–4233 ₹/quintal,local market,telangana agri exports
lemon,kharif,nizamabad,2023,3009–3408 ₹/quintal,local market,agro industries ltd
peach,rabi,medak,2022,4391–5369 ₹/quintal,industry buyer,mandi connect ltd
guava,rabi,nirmal,2022,3835–4198 ₹/quintal,local market,krishi produce ltd
muskmelon,zaid,warangal rural,2020,3180–4022 ₹/quintal,industry buyer,mandi connect ltd
okra,kharif,nagarkurnool,2023,4277–5205 ₹/quintal,industry buyer,agro industries ltd
potato,rabi,mahabubnagar,2021,1201–1525 ₹/quintal,local market,krishi produce ltd
mustard,rabi,warangal urban,2024,4258–5146 ₹/quintal,industry buyer,agro industries ltd
sapota,rabi,jangaon,2020,2756–4169 ₹/quintal,industry buyer,deccan agri trading
cabbage,rabi,mahabubnagar,2021,2959–3260 ₹/quintal,industry buyer,deccan agri trading
sugarcane,kharif,kumuram bheem asifabad,2021,2900–3893 ₹/quintal,nearest mandi,krishi produce ltd
lemon,kharif,sangareddy,2020,2561–3057 ₹/quintal,nearest mandi,bharat agro mills
grapes,rabi,warangal rural,2020,3591–3843 ₹/quintal,local market,telangana agri exports
rice,rabi,medak,2020,2249–3348 ₹/quintal,industry buyer,rural farmers hub
beetroot,rabi,suryapet,2023,2227–3468 ₹/quintal,industry buyer,rural farmers hub
lentil,rabi,nizamabad,2023,3230–3724 ₹/quintal,nearest mandi,deccan agri trading
onion,kharif,medchal–malkajgiri,2022,1886–3157 ₹/quintal,local market,rural farmers hub
tea,kharif,jagtial,2022,3867–4395 ₹/quintal,local market,mandi connect ltd
arhar,kharif,siddipet,2020,3405–4659 ₹/quintal,industry buyer,deccan agri trading
papaya,kharif,peddapalli,2022,3985–4310 ₹/quintal,local market,green harvest corp
cinnamon,kharif,siddipet,2023,4521–5555 ₹/quintal,industry buyer,green harvest corp
onion,rabi,jangaon,2021,1536–2125 ₹/quintal,industry buyer,rural farmers hub
ginger,kharif,jogulamba gadwal,2020,3745–4813 ₹/quintal,local market,bharat agro mills
turmeric,kharif,mahabubabad,2020,7534–8103 ₹/quintal,local market,mandi connect ltd
bottle gourd,kharif,adilabad,2024,4059–4923 ₹/quintal,industry buyer,telangana agri exports
groundnut,kharif,kamareddy,2024,3842–4995 ₹/quintal,local market,deccan agri trading
orange,kharif,wanaparthy,2024,3231–4660 ₹/quintal,nearest mandi,rural farmers hub
ridge gourd,kharif,nagarkurnool,2021,2966–3264 ₹/quintal,nearest mandi,deccan agri trading
saffron,rabi,jangaon,2021,3051–4120 ₹/quintal,industry buyer,rural farmers hub
sunflower,rabi,medak,2020,3593–4432 ₹/quintal,local market,green harvest corp
sunflower,rabi,jagtial,2022,3185–3895 ₹/quintal,nearest mandi,telangana agri exports
beetroot,rabi,sangareddy,2020,2536–3600 ₹/quintal,nearest mandi,deccan agri trading
sesame,kharif,kamareddy,2021,2971–3274 ₹/quintal,local market,agro industries ltd
moong,kharif,medak,2022,2086–3296 ₹/quintal,nearest mandi,krishi produce ltd
papaya,rabi,hyderabad,2023,3622–4371 ₹/quintal,nearest mandi,deccan agri trading
cumin,rabi,mahabubabad,2020,3451–3919 ₹/quintal,local market,mandi connect ltd
maize,rabi,siddipet,2024,1978–3328 ₹/quintal,local market,agro industries ltd
bottle gourd,kharif,karimnagar,2022,5125–6432 ₹/quintal,local market,mandi connect ltd
cauliflower,rabi,rangareddy,2022,4473–5307 ₹/quintal,industry buyer,mandi connect ltd
millets,kharif,peddapalli,2020,3675–4726 ₹/quintal,industry buyer,rural farmers hub
turmeric,kharif,medak,2023,7307–7775 ₹/quintal,local market,bharat agro mills
wheat,rabi,jayashankar bhupalpally,2021,1945–2915 ₹/quintal,industry buyer,rural farmers hub
turmeric,kharif,kamareddy,2024,7720–8996 ₹/quintal,industry buyer,agro industries ltd
watermelon,zaid,kamareddy,2024,3516–4034 ₹/quintal,industry buyer,green harvest corp
jowar,kharif,jayashankar bhupalpally,2024,4270–4804 ₹/quintal,nearest mandi,green harvest corp
groundnut,kharif,medchal–malkajgiri,2024,3981–5115 ₹/quintal,industry buyer,rural farmers hub
grapes,rabi,warangal rural,2021,2235–2917 ₹/quintal,local market,deccan agri trading
hemp,kharif,nizamabad,2020,2160–2662 ₹/quintal,nearest mandi,deccan agri trading
soybean,kharif,jogulamba gadwal,2020,3248–3794 ₹/quintal,industry buyer,bharat agro mills
barley,rabi,khammam,2023,4191–5486 ₹/quintal,industry buyer,green harvest corp
cotton,kharif,suryapet,2022,6335–7408 ₹/quintal,local market,deccan agri trading
wheat,rabi,vikarabad,2021,2358–2976 ₹/quintal,nearest mandi,krishi produce ltd
carrot,rabi,bhadradri kothagudem,2021,2562–3899 ₹/quintal,nearest mandi,agro industries ltd
clove,kharif,kamareddy,2024,3433–4615 ₹/quintal,industry buyer,krishi produce ltd
ginger,kharif,warangal rural,2023,5141–5929 ₹/quintal,local market,green harvest corp
jute,kharif,peddapalli,2020,2889–3169 ₹/quintal,nearest mandi,telangana agri exports
grapes,rabi,mahabubabad,2020,2933–3508 ₹/quintal,local market,agro industries ltd
sunflower,zaid,mahabubnagar,2024,2973–3948 ₹/quintal,local market,green harvest corp
ragi,kharif,kamareddy,2020,3654–4277 ₹/quintal,local market,rural farmers hub
millets,kharif,mahabubnagar,2024,4378–5815 ₹/quintal,local market,rural farmers hub
turmeric,kharif,sangareddy,2021,6649–8068 ₹/quintal,local market,bharat agro mills
guava,rabi,yadadri bhuvanagiri,2020,3146–3629 ₹/quintal,nearest mandi,agro industries ltd
plum,rabi,vikarabad,2022,4033–4408 ₹/quintal,industry buyer,green harvest corp
gram,rabi,mulugu,2024,3949–5118 ₹/quintal,local market,agro industries ltd
watermelon,zaid,nirmal,2024,2451–2826 ₹/quintal,industry buyer,deccan agri trading
hemp,kharif,yadadri bhuvanagiri,2024,3376–4368 ₹/quintal,local market,krishi produce ltd
mango,kharif,mancherial,2020,4325–4548 ₹/quintal,industry buyer,deccan agri trading
carrot,rabi,rangareddy,2024,5036–5608 ₹/quintal,industry buyer,deccan agri trading
apple,rabi,jagtial,2022,3056–4055 ₹/quintal,local market,krishi produce ltd
cucumber,zaid,warangal urban,2022,2799–3341 ₹/quintal,industry buyer,rural farmers hub
sapota,kharif,jogulamba gadwal,2020,3057–4191 ₹/quintal,local market,telangana agri exports
grapes,rabi,warangal urban,2020,3080–3794 ₹/quintal,industry buyer,mandi connect ltd
spices,zaid,suryapet,2022,2638–3808 ₹/quintal,industry buyer,agro industries ltd
lemon,kharif,nagarkurnool,2024,2697–2978 ₹/quintal,nearest mandi,telangana agri exports
urad,kharif,adilabad,2021,3481–4265 ₹/quintal,local market,krishi produce ltd
jowar,kharif,yadadri bhuvanagiri,2024,2900–4080 ₹/quintal,local market,deccan agri trading
millets,kharif,kamareddy,2023,4425–5227 ₹/quintal,industry buyer,green harvest corp
papaya,rabi,siddipet,2022,3482–4531 ₹/quintal,local market,agro industries ltd
apple,rabi,nirmal,2021,3985–4692 ₹/quintal,local market,green harvest corp
cucumber,zaid,sangareddy,2020,2526–3514 ₹/quintal,industry buyer,telangana agri exports
gram,rabi,bhadradri kothagudem,2020,3155–3649 ₹/quintal,nearest mandi,rural farmers hub
sunflower,zaid,sangareddy,2024,3203–4283 ₹/quintal,local market,bharat agro mills
coffee,kharif,medak,2024,2813–3720 ₹/quintal,industry buyer,bharat agro mills
banana,rabi,kumuram bheem asifabad,2022,3536–4198 ₹/quintal,nearest mandi,telangana agri exports
guava,rabi,vikarabad,2021,2968–4335 ₹/quintal,local market,deccan agri trading
arhar,kharif,nizamabad,2020,2828–3926 ₹/quintal,nearest mandi,agro industries ltd
lychee,kharif,vikarabad,2021,3853–5125 ₹/quintal,industry buyer,krishi produce ltd
cabbage,rabi,jogulamba gadwal,2021,2915–4231 ₹/quintal,industry buyer,agro industries ltd
mango,kharif,yadadri bhuvanagiri,2024,2709–4006 ₹/quintal,industry buyer,rural farmers hub
potato,rabi,siddipet,2020,1324–1885 ₹/quintal,local market,green harvest corp
cucumber,zaid,vikarabad,2022,4065–4507 ₹/quintal,industry buyer,mandi connect ltd
tea,kharif,suryapet,2020,3795–4961 ₹/quintal,nearest mandi,mandi connect ltd
brinjal,kharif,nirmal,2021,2306–3337 ₹/quintal,local market,rural farmers hub
papaya,rabi,nagarkurnool,2021,3079–3850 ₹/quintal,nearest mandi,krishi produce ltd
apple,rabi,jagtial,2024,2677–3797 ₹/quintal,local market,rural farmers hub
cabbage,rabi,kumuram bheem asifabad,2022,3781–4554 ₹/quintal,local market,rural farmers hub
soybean,kharif,nagarkurnool,2024,3714–4039 ₹/quintal,nearest mandi,telangana agri exports
tomato,rabi,nirmal,2021,1500–2394 ₹/quintal,local market,krishi produce ltd
muskmelon,zaid,jogulamba gadwal,2023,2626–3357 ₹/quintal,industry buyer,krishi produce ltd
bottle gourd,kharif,suryapet,2021,2786–3395 ₹/quintal,nearest mandi,deccan agri trading
brinjal,kharif,karimnagar,2022,2817–4152 ₹/quintal,nearest mandi,krishi produce ltd
papaya,kharif,peddapalli,2024,3294–4070 ₹/quintal,nearest mandi,mandi connect ltd
cauliflower,rabi,mancherial,2023,2541–3187 ₹/quintal,local market,bharat agro mills
sunflower,zaid,rajanna sircilla,2021,3728–5142 ₹/quintal,nearest mandi,bharat agro mills
sunflower,zaid,warangal urban,2022,2937–3163 ₹/quintal,nearest mandi,deccan agri trading
urad,kharif,wanaparthy,2022,4061–5204 ₹/quintal,local market,mandi connect ltd
turmeric,kharif,sangareddy,2023,6829–7901 ₹/quintal,local market,mandi connect ltd
moong,kharif,adilabad,2021,3035–4307 ₹/quintal,local market,bharat agro mills
turmeric,kharif,adilabad,2021,6596–7068 ₹/quintal,local market,deccan agri trading
beetroot,rabi,suryapet,2024,3435–4865 ₹/quintal,industry buyer,telangana agri exports
hemp,kharif,nirmal,2020,3539–4401 ₹/quintal,industry buyer,telangana agri exports
potato,rabi,peddapalli,2022,973–2424 ₹/quintal,nearest mandi,telangana agri exports
barley,rabi,adilabad,2020,5157–6186 ₹/quintal,industry buyer,bharat agro mills
bajra,kharif,jogulamba gadwal,2021,4538–5824 ₹/quintal,nearest mandi,deccan agri trading
potato,rabi,nizamabad,2023,1022–1671 ₹/quintal,nearest mandi,deccan agri trading
mango,kharif,nagarkurnool,2024,4295–4767 ₹/quintal,industry buyer,green harvest corp
coffee,kharif,kamareddy,2024,3714–4114 ₹/quintal,local market,krishi produce ltd
cotton,kharif,jogulamba gadwal,2024,6706–7957 ₹/quintal,nearest mandi,rural farmers hub
ragi,kharif,medak,2020,2902–3924 ₹/quintal,nearest mandi,krishi produce ltd
cabbage,rabi,wanaparthy,2021,2746–3310 ₹/quintal,industry buyer,telangana agri exports
clove,kharif,mahabubabad,2020,2139–2350 ₹/quintal,nearest mandi,deccan agri trading
pumpkin,kharif,mahabubnagar,2020,4272–5188 ₹/quintal,local market,rural farmers hub
lentil,rabi,khammam,2023,2467–3715 ₹/quintal,industry buyer,green harvest corp
jowar,kharif,bhadradri kothagudem,2021,3292–3702 ₹/quintal,nearest mandi,agro industries ltd
apple,rabi,bhadradri kothagudem,2021,3173–3677 ₹/quintal,local market,telangana agri exports
sunflower,rabi,nizamabad,2022,2610–3029 ₹/quintal,industry buyer,telangana agri exports
cabbage,rabi,jayashankar bhupalpally,2023,4180–4794 ₹/quintal,nearest mandi,rural farmers hub
lychee,kharif,mulugu,2020,2788–4198 ₹/quintal,local market,rural farmers hub
lentil,rabi,rajanna sircilla,2020,4295–5455 ₹/quintal,nearest mandi,krishi produce ltd
garlic,rabi,warangal rural,2020,2964–3567 ₹/quintal,industry buyer,rural farmers hub
moong,kharif,sangareddy,2020,3000–4234 ₹/quintal,local market,krishi produce ltd
ridge gourd,kharif,medchal–malkajgiri,2022,4005–5403 ₹/quintal,industry buyer,krishi produce ltd
barley,rabi,warangal rural,2021,1929–3377 ₹/quintal,industry buyer,deccan agri trading
coffee,kharif,mancherial,2022,3626–4953 ₹/quintal,local market,deccan agri trading
cumin,rabi,hyderabad,2021,2869–3612 ₹/quintal,nearest mandi,green harvest corp
ridge gourd,kharif,mulugu,2023,2969–4210 ₹/quintal,nearest mandi,rural farmers hub
cumin,rabi,mahabubnagar,2022,4048–5297 ₹/quintal,nearest mandi,bharat agro mills
cumin,rabi,yadadri bhuvanagiri,2024,4358–4826 ₹/quintal,industry buyer,agro industries ltd
brinjal,kharif,khammam,2024,2859–3885 ₹/quintal,nearest mandi,deccan agri trading
cinnamon,kharif,yadadri bhuvanagiri,2024,3347–3992 ₹/quintal,local market,green harvest corp
clove,kharif,mahabubnagar,2020,4736–4956 ₹/quintal,local market,rural farmers hub
bitter gourd,kharif,rangareddy,2024,3794–4257 ₹/quintal,nearest mandi,mandi connect ltd
saffron,rabi,mahabubnagar,2020,3261–4620 ₹/quintal,local market,mandi connect ltd
muskmelon,zaid,kumuram bheem asifabad,2022,2406–2896 ₹/quintal,industry buyer,deccan agri trading
onion,kharif,bhadradri kothagudem,2022,2237–3673 ₹/quintal,local market,mandi connect ltd
pulses,kharif,nirmal,2020,3252–4465 ₹/quintal,nearest mandi,rural farmers hub
lentil,rabi,bhadradri kothagudem,2020,3130–3960 ₹/quintal,local market,agro industries ltd
mango,kharif,wanaparthy,2024,4425–5832 ₹/quintal,local market,rural farmers hub
sugarcane,kharif,mahabubnagar,2023,2831–3712 ₹/quintal,industry buyer,agro industries ltd
soybean,kharif,karimnagar,2020,3713–4074 ₹/quintal,local market,agro industries ltd
turmeric,kharif,kumuram bheem asifabad,2023,9336–9797 ₹/quintal,nearest mandi,bharat agro mills
cardamom,kharif,vikarabad,2023,3876–4591 ₹/quintal,local market,bharat agro mills
garlic,rabi,wanaparthy,2024,2987–3699 ₹/quintal,local market,mandi connect ltd
rice,kharif,adilabad,2021,2334–2611 ₹/quintal,nearest mandi,deccan agri trading
wheat,rabi,medchal–malkajgiri,2020,2214–2478 ₹/quintal,local market,deccan agri trading
plum,rabi,bhadradri kothagudem,2023,4728–5708 ₹/quintal,industry buyer,deccan agri trading
ragi,kharif,nirmal,2024,4118–5166 ₹/quintal,nearest mandi,bharat agro mills
pulses,rabi,wanaparthy,2022,2506–3360 ₹/quintal,industry buyer,agro industries ltd
peach,rabi,adilabad,2023,3301–4036 ₹/quintal,industry buyer,deccan agri trading
cabbage,rabi,yadadri bhuvanagiri,2023,4470–5852 ₹/quintal,local market,green harvest corp
papaya,kharif,vikarabad,2022,3687–5088 ₹/quintal,nearest mandi,green harvest corp
jowar,rabi,kumuram bheem asifabad,2022,3267–3723 ₹/quintal,local market,agro industries ltd
cardamom,kharif,kamareddy,2022,3610–4767 ₹/quintal,industry buyer,telangana agri exports
tomato,rabi,bhadradri kothagudem,2020,1184–2596 ₹/quintal,local market,mandi connect ltd
grapes,rabi,rangareddy,2024,2947–3926 ₹/quintal,nearest mandi,agro industries ltd
cabbage,rabi,adilabad,2023,3389–4814 ₹/quintal,nearest mandi,deccan agri trading
peach,rabi,adilabad,2024,3274–4646 ₹/quintal,nearest mandi,deccan agri trading
clove,kharif,adilabad,2022,3726–5118 ₹/quintal,local market,deccan agri trading
mango,kharif,medak,2024,3584–4336 ₹/quintal,local market,telangana agri exports
cabbage,rabi,karimnagar,2023,4208–4738 ₹/quintal,nearest mandi,rural farmers hub
lemon,kharif,medchal–malkajgiri,2022,2583–3607 ₹/quintal,industry buyer,green harvest corp
clove,kharif,khammam,2024,2890–3876 ₹/quintal,industry buyer,rural farmers hub
cinnamon,kharif,nirmal,2023,3453–4694 ₹/quintal,nearest mandi,agro industries ltd
cinnamon,kharif,medak,2020,3487–4030 ₹/quintal,nearest mandi,deccan agri trading
rubber,kharif,hyderabad,2021,2730–2982 ₹/quintal,industry buyer,bharat agro mills
cotton,kharif,vikarabad,2024,5864–7270 ₹/quintal,nearest mandi,agro industries ltd
cumin,rabi,hyderabad,2023,2533–3940 ₹/quintal,local market,telangana agri exports
orange,kharif,rangareddy,2020,3498–3711 ₹/quintal,nearest mandi,bharat agro mills
orange,kharif,mahabubabad,2022,2575–2795 ₹/quintal,industry buyer,deccan agri trading
sugarcane,kharif,suryapet,2024,3477–4642 ₹/quintal,local market,deccan agri trading
guava,rabi,medak,2024,3393–3612 ₹/quintal,industry buyer,telangana agri exports
barley,rabi,nizamabad,2020,4028–5419 ₹/quintal,nearest mandi,bharat agro mills
coffee,kharif,warangal urban,2020,3609–4808 ₹/quintal,local market,telangana agri exports
jowar,kharif,nizamabad,2021,3392–4571 ₹/quintal,nearest mandi,rural farmers hub
pomegranate,kharif,nalgonda,2022,3348–4724 ₹/quintal,nearest mandi,telangana agri exports
papaya,rabi,jangaon,2021,3788–4816 ₹/quintal,local market,rural farmers hub
tomato,kharif,siddipet,2021,1034–1869 ₹/quintal,nearest mandi,agro industries ltd
muskmelon,zaid,warangal urban,2020,3407–4132 ₹/quintal,local market,mandi connect ltd
soybean,kharif,adilabad,2020,3323–3968 ₹/quintal,nearest mandi,bharat agro mills
ginger,kharif,nagarkurnool,2020,2611–2990 ₹/quintal,nearest mandi,green harvest corp
muskmelon,zaid,medchal–malkajgiri,2020,3381–4856 ₹/quintal,local market,green harvest corp
ragi,kharif,siddipet,2023,3252–3657 ₹/quintal,industry buyer,rural farmers hub
bitter gourd,kharif,yadadri bhuvanagiri,2024,3287–3611 ₹/quintal,local market,krishi produce ltd
hemp,kharif,jangaon,2021,2978–3450 ₹/quintal,local market,agro industries ltd
maize,kharif,nagarkurnool,2024,1809–2681 ₹/quintal,nearest mandi,mandi connect ltd
bottle gourd,kharif,khammam,2022,3982–4761 ₹/quintal,industry buyer,rural farmers hub
mustard,rabi,nalgonda,2021,3069–3388 ₹/quintal,local market,green harvest corp
urad,kharif,jogulamba gadwal,2020,3892–4338 ₹/quintal,nearest mandi,agro industries ltd
groundnut,kharif,medak,2023,3935–4465 ₹/quintal,local market,mandi connect ltd
cabbage,rabi,medchal–malkajgiri,2024,2370–2878 ₹/quintal,local market,krishi produce ltd
gram,rabi,jogulamba gadwal,2021,3308–4015 ₹/quintal,local market,krishi produce ltd
ragi,kharif,khammam,2024,2688–2893 ₹/quintal,industry buyer,bharat agro mills
sugarcane,kharif,nagarkurnool,2020,3402–4396 ₹/quintal,industry buyer,bharat agro mills
cumin,rabi,nalgonda,2022,3670–4546 ₹/quintal,local market,deccan agri trading
moong,kharif,mahabubabad,2022,3894–5273 ₹/quintal,nearest mandi,deccan agri trading
sunflower,zaid,mahabubabad,2023,3637–4891 ₹/quintal,nearest mandi,telangana agri exports
mango,kharif,nagarkurnool,2024,3177–3896 ₹/quintal,local market,rural farmers hub
potato,rabi,nizamabad,2021,1208–1812 ₹/quintal,local market,green harvest corp
coffee,kharif,jayashankar bhupalpally,2020,4005–4728 ₹/quintal,industry buyer,deccan agri trading
cumin,rabi,jagtial,2022,3672–4277 ₹/quintal,local market,rural farmers hub
cauliflower,rabi,nalgonda,2022,3437–4838 ₹/quintal,local market,agro industries ltd
ragi,kharif,warangal rural,2021,2901–3388 ₹/quintal,industry buyer,deccan agri trading
arhar,kharif,bhadradri kothagudem,2020,2430–3663 ₹/quintal,industry buyer,agro industries ltd
sesame,kharif,jangaon,2024,3500–4637 ₹/quintal,industry buyer,agro industries ltd
guava,rabi,nizamabad,2022,4688–6078 ₹/quintal,local market,rural farmers hub
soybean,kharif,nizamabad,2022,3853–5223 ₹/quintal,local market,green harvest corp
plum,rabi,nirmal,2024,3517–4441 ₹/quintal,nearest mandi,green harvest corp
cardamom,kharif,jayashankar bhupalpally,2023,5103–5538 ₹/quintal,nearest mandi,agro industries ltd
tomato,rabi,medchal–malkajgiri,2022,1590–2517 ₹/quintal,industry buyer,rural farmers hub
sapota,rabi,mulugu,2021,3164–3782 ₹/quintal,local market,green harvest corp
tomato,zaid,warangal urban,2024,1061–2301 ₹/quintal,nearest mandi,krishi produce ltd
bajra,kharif,nagarkurnool,2020,3074–4467 ₹/quintal,nearest mandi,krishi produce ltd
hemp,kharif,suryapet,2020,4596–5513 ₹/quintal,nearest mandi,krishi produce ltd
pomegranate,kharif,vikarabad,2020,4419–5703 ₹/quintal,industry buyer,bharat agro mills
cinnamon,kharif,hyderabad,2020,2422–3527 ₹/quintal,industry buyer,krishi produce ltd
arhar,kharif,medak,2023,3264–4364 ₹/quintal,local market,green harvest corp
saffron,rabi,sangareddy,2021,3027–3779 ₹/quintal,nearest mandi,bharat agro mills
pomegranate,kharif,medak,2020,2591–3565 ₹/quintal,industry buyer,mandi connect ltd
ginger,kharif,mahabubnagar,2024,3534–4897 ₹/quintal,nearest mandi,rural farmers hub
ridge gourd,kharif,warangal urban,2021,3521–4309 ₹/quintal,local market,mandi connect ltd
cabbage,rabi,mahabubabad,2023,4085–4629 ₹/quintal,nearest mandi,bharat agro mills
carrot,rabi,bhadradri kothagudem,2024,3970–4633 ₹/quintal,industry buyer,deccan agri trading
sesame,kharif,mulugu,2024,3393–4072 ₹/quintal,local market,rural farmers hub
okra,kharif,warangal rural,2024,2121–2367 ₹/quintal,industry buyer,telangana agri exports
moong,kharif,wanaparthy,2023,3612–4759 ₹/quintal,nearest mandi,rural farmers hub
brinjal,kharif,kumuram bheem asifabad,2023,4494–4908 ₹/quintal,nearest mandi,telangana agri exports
onion,rabi,kumuram bheem asifabad,2021,1432–2375 ₹/quintal,industry buyer,green harvest corp
cucumber,zaid,hyderabad,2024,3574–4650 ₹/quintal,industry buyer,krishi produce ltd
hemp,kharif,sangareddy,2023,3403–4614 ₹/quintal,industry buyer,deccan agri trading
turmeric,kharif,bhadradri kothagudem,2022,8190–9462 ₹/quintal,local market,mandi connect ltd
cinnamon,kharif,rangareddy,2022,3582–3972 ₹/quintal,local market,deccan agri trading
brinjal,kharif,nirmal,2022,3056–3563 ₹/quintal,nearest mandi,mandi connect ltd
cumin,rabi,rajanna sircilla,2021,2862–3144 ₹/quintal,nearest mandi,mandi connect ltd
guava,kharif,wanaparthy,2021,3545–4181 ₹/quintal,nearest mandi,telangana agri exports
saffron,rabi,karimnagar,2023,4192–4690 ₹/quintal,nearest mandi,rural farmers hub
carrot,rabi,jayashankar bhupalpally,2020,3688–4070 ₹/quintal,local market,deccan agri trading
pomegranate,kharif,kumuram bheem asifabad,2024,4034–4977 ₹/quintal,local market,deccan agri trading
plum,rabi,kumuram bheem asifabad,2023,2900–3193 ₹/quintal,local market,telangana agri exports
ridge gourd,kharif,adilabad,2024,2505–3673 ₹/quintal,industry buyer,telangana agri exports
cauliflower,rabi,yadadri bhuvanagiri,2021,3986–4308 ₹/quintal,local market,green harvest corp
soybean,kharif,mulugu,2022,3338–3923 ₹/quintal,industry buyer,agro industries ltd
millets,kharif,jayashankar bhupalpally,2022,3859–4304 ₹/quintal,industry buyer,bharat agro mills
turmeric,kharif,hyderabad,2023,8268–9134 ₹/quintal,nearest mandi,green harvest corp
apple,rabi,hyderabad,2022,2978–3832 ₹/quintal,local market,krishi produce ltd
garlic,rabi,jagtial,2021,3536–4511 ₹/quintal,nearest mandi,deccan agri trading
peach,rabi,mulugu,2024,4175–4682 ₹/quintal,local market,deccan agri trading
chilli,kharif,medchal–malkajgiri,2021,7740–8751 ₹/quintal,industry buyer,mandi connect ltd
tomato,rabi,medchal–malkajgiri,2022,1602–2981 ₹/quintal,local market,telangana agri exports
barley,rabi,bhadradri kothagudem,2020,3204–4023 ₹/quintal,local market,green harvest corp
cardamom,kharif,rangareddy,2020,3721–4042 ₹/quintal,nearest mandi,rural farmers hub
gram,rabi,mahabubabad,2024,2948–4117 ₹/quintal,industry buyer,telangana agri exports
